timestamp_ms,state,event,queue_depth,s0_pos,s1_pos,s2_pos,servo0_angle,tune_string,tune_attempt,measured_hz,target_hz,tune_servo_angle,note_index,note_string
1510,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1511,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1512,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1513,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1514,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1516,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1517,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1518,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1519,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1520,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1521,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1523,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1524,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1525,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1526,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1527,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1528,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1529,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1531,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1532,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1533,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1534,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1535,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1536,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1538,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1539,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1540,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
1541,TUNING,MOTORS,0,0,0,0,90.0,,,,,,,
